English,Russian,French
a,,une
abandon,покидать,abandonner
ability,способность,capacité
able,способный,pouvoir
abortion,аборт,Avortement
about,о,à propos de
above,выше,dessus
abroad,за границу,à l'étranger
absence,отсутствие,absence
absolute,абсолютный,absolu
absolutely,абсолютно,Tout à fait
absorb,абсорбировать,absorber
abuse,злоупотреблять,abuser de
academic,академический,académique
accept,принимать,J'accepte
access,доступ,accès
accident,несчастный случай,accident
accompany,сопровождать,accompagner
accomplish,выполнить,accomplir
according,в соответствии,selon
account,учетная запись,Compte
accurate,точный,exact
accuse,обвинять,accuser
achieve,достигать,réaliser
achievement,достижение,réussite
acid,кислота,acide
acknowledge,сознавать,accuser réception
acquire,приобретать,acquérir
across,через,de l'autre côté
act,действовать,acte
action,действие,action
active,активный,actif
activist,активист,activiste
activity,Мероприятия,activité
actor,актер,acteur
actress,актриса,actrice
actual,действительный,réel
actually,фактически,en fait
ad,объявление,un d
adapt,адаптироваться,adapter
add,Добавлять,ajouter
addition,добавление,une addition
additional,дополнительный,Additionnel
address,адрес,adresse
adequate,адекватный,adéquat
adjust,регулировать,régler
adjustment,корректирование,ajustement
administration,администрация,administration
administrator,администратор,administrateur
admire,восхищаться,admirer
admission,допуск,admission
admit,признавать,admettre
adolescent,подросток,adolescente
adopt,усыновить,adopter
adult,для взрослых,adulte
advance,продвигать,avance
advanced,передовой,Avancée
advantage,преимущество,avantage
adventure,приключение,aventure
advertising,Реклама,La publicité
advice,совет,conseils
advise,советовать,conseiller
adviser,консультант,conseiller
advocate,адвокат,avocat
affair,Роман,affaire
affect,оказывать воздействие,affecter
afford,предоставлять,s'offrir
afraid,боюсь,effrayé
African,африканец,africain
African-American,Афроамериканец,Afro-américain
after,после,après
afternoon,после полудня,après midi
again,очередной раз,de nouveau
against,против,contre
age,возраст,âge
agency,агентство,agence
agenda,повестка дня,ordre du jour
agent,агент,agent
aggressive,агрессивный,agressif
ago,тому назад,depuis
agree,дать согласие,Je suis d'accord
agreement,соглашение,accord
agricultural,сельскохозяйственное,agricole
ah,ах,ah
ahead,предстоящий,en avant
aid,помогать,aide
aide,помощник,aide
AIDS,СПИД,sida
aim,цель,objectif
air,воздуха,air
aircraft,самолет,avion
airline,авиакомпания,Compagnie aérienne
airport,аэропорт,aéroport
album,альбом,album
alcohol,алкоголь,de l'alcool
alive,живой,vivant
all,все,tout
alliance,союз,Alliance
allow,позволять,Autoriser
ally,союзник,allié
almost,почти,presque
alone,один,seule
along,вдоль,le long de
already,уже,déjà
also,также,également
alter,альтер,modifier
alternative,альтернатива,alternative
although,хотя,même si
always,всегда,toujours
am,являюсь,un m
amazing,удивительный,étonnante
American,американский,américain
among,среди,parmi
amount,количество,montant
analysis,анализ,Analyse
analyst,аналитик,analyste
analyze,анализировать,analyser
ancient,древний,ancien
and,а также,et
anger,злость,colère
angle,угол,angle
angry,сердитый,en colère
animal,животное,animal
anniversary,Годовщина,anniversaire
announce,анонсировать,annoncer
annual,ежегодный,annuel
another,Другой,une autre
answer,отвечать,répondre
anticipate,предвидеть,anticiper
anxiety,беспокойство,anxiété
any,любой,quelconque
anybody,кто-нибудь,n'importe qui
anymore,больше,plus
anyone,кто-нибудь,personne
anything,что-нибудь,n'importe quoi
anyway,в любом случае,en tous cas
anywhere,в любом месте,partout
apart,отдельно,une part
apartment,квартира,appartement
apparent,очевидный,apparent
apparently,по всей видимости,Apparemment
appeal,обращаться,faire appel
appear,появляться,apparaître
appearance,внешний вид,apparence
apple,яблоко,Pomme
application,заявление,application
apply,применять,appliquer
appoint,назначать,nommer
appointment,"деловое свидание, встреча",rendez-vous
appreciate,ценить,apprécier
approach,подход,approcher
appropriate,соответствующий,approprié
approval,одобрение,approbation
approve,утвердить,approuver
approximately,примерно,environ
Arab,араб,arabe
architect,архитектор,architecte
area,область,surface
argue,спорить,se disputer
argument,аргумент,argument
arise,возникать,surgir
arm,рука,bras
armed,вооружившись,armé
army,армия,armée
around,вокруг,environ
arrange,договариваться,organiser
arrangement,расположение,arrangement
arrest,арестовывать,arrêter
arrive,прибыть,arrivée
art,Изобразительное искусство,de l'art
article,статья,article
artist,художник,artiste
artistic,художественный,artistique
as,в виде,comme
Asian,азиатка,asiatique
aside,в стороне,de côté
ask,спросить,demandez
asleep,спящий,endormi
aspect,аспект,aspect
assault,атаковать,agression
assert,утверждать,affirmer
assess,оценивать,évaluer
assessment,оценка,évaluation
asset,актив,actif
assign,назначать,attribuer
assignment,назначение,mission
assist,помощь,aider
assistance,помощь,assistance
assistant,помощник,assistant
associate,ассоциировать,associer
association,ассоциация,association
assume,предполагать,présumer
assumption,предположение,supposition
assure,гарантировать,assurer
at,в,à
athlete,спортсмен,athlète
athletic,Спортивное,sportif
atmosphere,атмосфера,atmosphère
attach,прикреплять,attacher
attack,атака,attaque
attempt,пытаться,tenter
attend,присутствовать,assister
attention,внимание,attention
attitude,отношение,attitude
attorney,адвокат,avocat
attract,привлекать,attirer
attractive,привлекательный,attractif
attribute,атрибут,attribut
audience,аудитория,public
author,автор,auteur
authority,власть,autorité
auto,авто,auto
available,имеется в наличии,disponible
average,в среднем,moyenne
avoid,избегать,éviter de
award,награда,prix
aware,осведомленный,au courant
awareness,осведомленность,conscience
away,далеко,un moyen
awful,ужасный,terrible
baby,малыш,de bébé
back,назад,dos
background,задний план,Contexte
bad,Плохо,mal
badly,плохо,mal
bag,мешок,sac
bake,печь,cuire
balance,остаток средств,équilibre
ball,мяч,Balle
ban,запрет,interdire
band,группа,bande
bank,банк,Banque
bar,бар,bar
barely,едва,à peine
barrel,бочка,baril
barrier,барьер,barrière
base,база,base
baseball,бейсбол,base-ball
basic,базовый,de base
basically,по сути,essentiellement
basis,основа,base
basket,корзина,panier
basketball,баскетбол,basketball
bathroom,ванная,salle de bains
battery,аккумулятор,la batterie
battle,боевой,bataille
be,быть,être
beach,пляж,plage
bean,боб,haricot
bear,нести,ours
beat,бить,battre
beautiful,красивая,belle
beauty,Красота,beauté
because,так как,car
become,стали,devenir
bed,кровать,lit
bedroom,спальная комната,chambre
beer,пиво,Bière
before,перед,avant que
begin,начинать,commencer
beginning,начало,début
behavior,поведение,comportement
behind,за,derrière
being,существование,étant
belief,вера,croyance
believe,полагать,croyez
bell,колокол,cloche
belong,принадлежать,appartiennent
below,ниже,au dessous de
belt,пояс,ceinture
bench,лавка,banc
bend,сгибать,pliez
beneath,под,sous
benefit,выгода,avantage
beside,рядом,à côté de
besides,Кроме,outre
best,Лучший,meilleur
bet,держать пари,pari
better,лучше,mieux
between,между,entre
beyond,вне,au-delà
Bible,библия,Bible
big,большой,gros
bike,велосипед,bicyclette
bill,законопроект,facture
billion,миллиард,milliard
bind,связывать,lier
biological,биологический,biologique
bird,птица,oiseau
birth,рождение,naissance
birthday,день рождения,date d'anniversaire
bit,немного,bit
bite,кусать,mordre
black,чернить,noir
blade,лезвие,lame
blame,обвинять,blâmer
blanket,одеяло,couverture
blind,слепой,aveugle
block,блокировать,bloquer
blood,кровь,du sang
blow,дуть,coup
blue,синий,bleu
board,доска,Conseil
boat,лодка,bateau
body,тело,corps
bomb,бомбить,bombe
bombing,бомбардировка,bombardement
bond,связь,lier
bone,кость,OS
book,книга,livre
boom,бум,boom
boot,ботинок,botte
border,граница,frontière
born,родившийся,née
borrow,одолжить,emprunter
boss,босс,patron
both,оба,tous les deux
bother,беспокоить,embêter
bottle,бутылка,bouteille
bottom,Нижний,bas
boundary,граница,frontière
bowl,чаша,bol
box,коробка,boîte
boy,мальчик,garçon
boyfriend,парень,petit ami
brain,мозг,cerveau
branch,ветка,branche
brand,марка,marque
bread,хлеб,pain
break,перерыв,Pause
breakfast,завтрак,petit-déjeuner
breast,грудь,Sein
breath,дыхание,souffle
breathe,дышать,respirer
brick,кирпич,brique
bridge,мост,pont
brief,краткий,bref
briefly,кратко,brièvement
bright,яркий,brillant
brilliant,блестящий,brillant
bring,приносить,apporter
British,Британская,Britanique
broad,широкий,large
broken,сломанный,cassé
brother,родной брат,frère
brown,коричневый,marron
brush,щетка,brosser
buck,доллар,mâle
budget,бюджет,budget
build,строить,construire
building,строительство,imeuble
bullet,пуля,balle
bunch,связка,groupe
burden,груз,charge
burn,гореть,brûler
bury,хоронить,enterrer
bus,автобус,autobus
business,бизнес,affaires
busy,занятый,occupé
but,но,mais
butter,масло,beurre
button,кнопка,bouton
buy,купить,acheter
buyer,покупатель,acheteur
by,от,par
cabin,кабина,cabine
cabinet,кабинет,cabinet
cable,кабель,câble
cake,кекс,gâteau
calculate,высчитывает,calculer
call,вызов,appel
camera,камера,caméra
camp,лагерь,camp
campaign,кампания,campagne
campus,кампус,Campus
can,может,pouvez
Canadian,канадец,canadien
cancer,рак,cancer
candidate,кандидат,candidat
cap,шапка,casquette
capability,возможность,aptitude
capable,способный,capable
capacity,вместимость,capacité
capital,столица,Capitale
captain,капитан,capitaine
capture,захватывать,Capturer
car,машина,voiture
carbon,углерод,carbone
card,карта,carte
care,забота,se soucier
career,карьера,carrière
careful,осторожный,minutieux
carefully,осторожно,soigneusement
carrier,перевозчик,transporteur
carry,нести,porter
case,дело,Cas
cash,денежные средства,en espèces
cast,В ролях,jeter
cat,Кот,chat
catch,ловить,attraper
category,категория,Catégorie
Catholic,католик,catholique
cause,причина,cause
ceiling,потолок,plafond
celebrate,праздновать,célébrer
celebration,праздник,fête
celebrity,знаменитость,célébrité
cell,клетка,cellule
center,центр,centre
central,центральный,central
century,века,siècle
CEO,Исполнительный директор,PDG
ceremony,церемония,la cérémonie
certain,определенный,certain
certainly,безусловно,certainement
chain,цепь,chaîne
chair,стул,chaise
chairman,председатель,président
challenge,вызов,défier
chamber,камера,chambre
champion,чемпион,champion
championship,чемпионат,championnat
chance,шанс,chance
change,менять,monnaie
changing,изменения,en changeant
channel,канал,canal
chapter,глава,chapitre
character,персонаж,personnage
characteristic,характерная черта,caractéristique
characterize,характеризуют,caractériser
charge,заряжать,charger
charity,благотворительность,charité
chart,Диаграмма,graphique
chase,гнаться,chasser
cheap,дешевый,peu coûteux
check,проверять,Chèque
cheek,щека,joue
cheese,сыр,fromage
chef,шеф-повар,chef
chemical,химическая,chimique
chest,грудь,coffre
chicken,курица,poulet
chief,главный,chef
child,ребенок,enfant
childhood,детство,enfance
Chinese,китайский язык,chinois
chip,чип,ébrécher
chocolate,шоколад,Chocolat
choice,выбор,choix
cholesterol,холестерин,cholestérol
choose,выберите,choisir
Christian,Кристиан,Christian
Christmas,рождество,Noël
church,церковь,église
cigarette,сигарета,cigarette
circle,круг,cercle
circumstance,обстоятельство,circonstance
cite,цитировать,citer
citizen,гражданин,citoyenne
city,город,ville
civil,гражданского,civil
civilian,гражданский,civil
claim,требовать,Réclamer
class,класс,classer
classic,классический,classique
classroom,класс,salle de cours
clean,чистый,faire le ménage
clear,Чисто,dégager
clearly,четко,clairement
client,клиент,client
climate,климат,climat
climb,взбираться,montée
clinic,клиника,clinique
clinical,клиническая,clinique
clock,Часы,l'horloge
close,Закрыть,Fermer
closely,тесно,étroitement
closer,ближе,plus proche
clothes,одежда,vêtements
clothing,одежда,Vêtements
cloud,облако,nuage
club,клуб,club
clue,ключ к разгадке,indice
cluster,кластер,groupe
coach,тренер,entraîneur
coal,каменный уголь,charbon
coalition,коалиция,coalition
coast,берег,côte
coat,Пальто,manteau
code,код,code
coffee,кофе,café
cognitive,познавательный,cognitif
cold,холодный,du froid
collapse,крах,s'effondrer
colleague,коллега,collègue
collect,собирать,collecter
collection,коллекция,collection
collective,коллектив,collectif
college,колледж,Université
colonial,колониальный,colonial
color,цвет,Couleur
column,столбец,colonne
combination,сочетание,combinaison
combine,скомбинировать,combiner
come,прийти,venir
comedy,комедия,la comédie
comfort,комфорт,confort
comfortable,комфортный,à l'aise
command,команда,commander
commander,командир,le commandant
comment,комментарий,commenter
commercial,коммерческая,commercial
commission,комиссия,commission
commit,совершить,s'engager
commitment,обязательство,engagement
committee,комитет,Comité
common,общий,commun
communicate,общаться,communiquer
communication,коммуникация,la communication
community,сообщество,communauté
company,Компания,entreprise
compare,сравнивать,comparer
comparison,сравнение,Comparaison
compete,конкурировать,rivaliser
competition,соревнование,compétition
competitive,конкурентоспособный,compétitif
competitor,конкурент,concurrent
complain,жаловаться,se plaindre
complaint,жалоба,plainte
complete,полный,Achevée
completely,полностью,complètement
complex,сложный,complexe
complicated,сложный,compliqué
component,составная часть,composant
compose,Compose,composer
composition,состав,composition
comprehensive,всесторонний,complet
computer,компьютер,l'ordinateur
concentrate,концентрат,concentrer
concentration,концентрация,concentration
concept,концепция,concept
concern,беспокойство,préoccuper
concerned,обеспокоенный,concerné
concert,концерт,concert
conclude,заключать,conclure
conclusion,заключение,conclusion
concrete,конкретный,béton
condition,условие,état
conduct,провести,conduite
conference,конференция,conférence
confidence,уверенность,confiance
confident,уверенная в себе,confiant
confirm,подтверждать,confirmer
conflict,конфликт,conflit
confront,конфронт,affronter
confusion,спутанность сознания,confusion
Congress,конгресс,Congrès
congressional,конгрессменов,Congressional
connect,соединять,relier
connection,связь,lien
consciousness,сознание,conscience
consensus,консенсус,consensus
consequence,последствие,conséquence
conservative,консервативный,conservateur
consider,рассмотреть возможность,considérer
considerable,значительный,considérable
consideration,рассмотрение,considération
consist,состоять,consister
consistent,последовательный,cohérent
constant,постоянный,constant
constantly,постоянно,constamment
constitute,составлять,constituer
constitutional,конституционная,constitutionnel
construct,конструкт,construction
construction,строительство,construction
consultant,консультант,consultant
consume,потреблять,consommer
consumer,потребитель,consommateur
consumption,потребление,consommation
contact,контакт,contact
contain,содержать,contenir
container,контейнер,récipient
contemporary,современный,contemporain
content,содержание,contenu
contest,конкурс,concours
context,контекст,le contexte
continue,Продолжать,Continuez
continued,продолжение,a continué
contract,договор,Contrat
contrast,контраст,contraste
contribute,способствовать,contribuer
contribution,вклад,contribution
control,контроль,contrôler
controversial,спорный,controversé
controversy,полемика,controverse
convention,соглашение,convention
conventional,общепринятый,conventionnel
conversation,беседа,conversation
convert,перерабатывать,convertir
conviction,убеждение,conviction
convince,убеждать,convaincre
cook,готовить,cuisinier
cookie,печенье,biscuit
cooking,Готовка,cuisine
cool,здорово,frais
cop,полицейский,flic
cope,справляться,se débrouiller
copy,копия,copie
core,основной,cœur
corn,кукуруза,maïs
corner,угол,coin
corporate,корпоративный,d'entreprise
corporation,корпорация,société
correct,верный,corriger
correspondent,корреспондент,correspondant
cost,Стоимость,Coût
cotton,хлопок,coton
couch,диван,canapé
could,мог,pourrait
council,совет,conseil
counselor,консультант,conseiller
count,считать,compter
counter,прилавок,compteur
country,страна,pays
county,округ,comté
couple,пара,coupler
courage,храбрость,courage
course,курс,cours
court,корт,rechercher
cousin,двоюродная сестра,cousin
cover,покрытие,couverture
coverage,покрытие,couverture
cow,корова,vache
crack,трескаться,fissure
craft,ремесло,artisanat
crash,крушение,crash
crazy,сумасшедший,fou
cream,кремовый цвет,crème
create,Создайте,créer
creation,создание,création
creative,творческий,Créatif
creature,существо,créature
credit,кредит,crédit
crew,экипаж,équipage
crime,преступление,la criminalité
criminal,преступник,criminel
crisis,кризис,crise
criteria,критерии,Critères
critic,критик,critique
critical,критический,critique
criticism,критика,critique
criticize,критиковать,critiquer
crop,обрезать,recadrer
cross,Пересекать,traverser
crowd,толпа людей,foule
crucial,ключевой,crucial
cry,плакать,pleurer
cultural,культурный,culturel
culture,культура,culture
cup,чашка,Coupe
curious,любопытный,curieuse
current,Текущий,actuel
currently,В настоящее время,actuellement
curriculum,учебный план,programme d'études
custom,обычай,Douane
customer,клиент,client
cut,резать,Couper
cycle,цикл,cycle
dad,папа,papa
daily,ежедневно,du quotidien
damage,повреждать,endommager
dance,танец,Danse
danger,Опасность,danger
dangerous,опасный,dangereux
dare,сметь,oser
dark,темный,foncé
darkness,темнота,obscurité
data,данные,Les données
date,Дата,Date
daughter,дочь,la fille
day,день,journée
dead,мертвых,mort
deal,иметь дело,accord
dealer,дилер,Marchand
dear,дорогой,chère
death,смерть,décès
debate,обсуждение,débat
debt,долг,dette
decade,десятилетие,décennie
decide,решать,décider
decision,решение,décision
deck,палуба,plate-forme
declare,DECLARE,déclarer
decline,отклонить,déclin
decrease,снижаться,diminuer
deep,глубокий,Profond
deeply,глубоко,profondément
deer,олень,cerf
defeat,поражение,défaite
defend,защищать,défendre
defendant,ответчик,défendeur
defense,защита,la défense
defensive,оборонительный,défensive
deficit,дефицит,déficit
define,определять,définir
definitely,определенно,absolument
definition,определение,définition
degree,степень,degré
delay,задерживать,retard
deliver,доставлять,livrer
delivery,Доставка,livraison
demand,требовать,demande
democracy,демократия,la démocratie
Democrat,демократ,Démocrate
democratic,демократической,démocratique
demonstrate,демонстрировать,démontrer
demonstration,демонстрация,manifestation
deny,отказываться от,Nier
department,отделение,département
depend,зависеть,dépendre
dependent,зависимый,dépendant
depending,в зависимости,"en fonction, dépendemment"
depict,изображают,représenter
depression,депрессия,dépression
depth,глубина,profondeur
deputy,заместитель,adjoint
derive,Выведите,dériver
describe,описывать,décris
description,описание,la description
desert,пустыня,désert
deserve,заслуживать,mériter
design,дизайн,conception
designer,дизайнер,designer
desire,желание,le désir
desk,стол письменный,bureau
desperate,отчаянный,désespéré
despite,несмотря на,malgré
destroy,разрушать,détruire
destruction,разрушение,destruction
detail,подробно,détail
detailed,детальнее,détaillé
detect,обнаружить,détecter
determine,определять,déterminer
develop,развивать,développer
developing,развивающийся,développement
development,разработка,développement
device,устройство,appareil
devote,посвятить,consacrer
dialogue,диалог,dialogue
die,умри,mourir
diet,диета,diète
differ,отличаться,différer
difference,разница,différence
different,разные,différent
differently,по-другому,différemment
difficult,трудный,difficile
difficulty,трудность,difficulté
dig,копать,creuser
digital,цифровой,numérique
dimension,измерение,dimension
dining,обеденный,à manger
dinner,обед,dîner
direct,непосредственный,direct
direction,направление,direction
directly,напрямую,directement
director,директор,réalisateur
dirt,грязь,saleté
dirty,грязный,sale
disability,инвалидность,invalidité
disagree,не соглашаться,être en désaccord
disappear,пропадать,disparaître
disaster,катастрофа,catastrophe
discipline,дисциплина,la discipline
discourse,речь,discours
discover,обнаружить,découvrir
discovery,открытие,Découverte
discrimination,дискриминация,discrimination
discuss,обсуждать,discuter
discussion,обсуждение,discussion
disease,болезнь,maladie
dish,блюдо,plat
dismiss,увольнять,rejeter
disorder,расстройство,désordre
display,отображать,affichage
dispute,спор,contestation
distance,расстояние,distance
distant,отдаленный,loin
distinct,отчетливый,distinct
distinction,различие,distinction
distinguish,различать,distinguer
distribute,распространять,distribuer
distribution,распределение,Distribution
district,округ,quartier
diverse,разнообразный,diverse
diversity,разнообразие,la diversité
divide,делить,diviser
division,разделение,division
divorce,расторжение брака,divorce
DNA,ДНК,ADN
do,делать,fais
doctor,доктор,docteur
document,документ,document
dog,собака,chien
domestic,одомашненный,national
dominant,доминирующий,dominant
dominate,властвуй,dominer
door,дверь,porte
double,двойной,double
doubt,сомневаться,doute
down,вниз,vers le bas
downtown,в центре города,centre ville
dozen,дюжина,douzaine
draft,черновой вариант,Brouillon
drag,тащить,traîne
drama,драма,drame
dramatic,драматичный,spectaculaire
dramatically,драматично,de façon spectaculaire
draw,рисовать,dessiner
drawing,Рисование,dessin
dream,мечтать,rêver
dress,платье,robe
drink,напиток,boire
drive,привод,conduire
driver,Водитель,conducteur
drop,уронить,tomber
drug,лекарство,drogue
dry,сухой,sec
due,должное,dû
during,в течение,durant
dust,пыль,poussière
duty,долг,devoir
each,каждый,chaque
eager,жаждущий,désireux
ear,ухо,oreille
early,рано,tôt
earn,зарабатывать,gagner
earnings,прибыль,gains
earth,земля,Terre
ease,простота,facilité
easily,без труда,facilement
east,Восток,est
eastern,восточный,est
easy,легкий,facile
eat,есть,manger
economic,экономической,économique
economics,экономика,économie
economist,экономист,économiste
economy,экономика,économie
edge,край,bord
edition,версия,édition
editor,редактор,éditeur
educate,воспитывать,éduquer
education,образование,éducation
educational,образования,éducatif
educator,воспитатель,éducateur
effect,эффект,effet
effective,эффективный,efficace
effectively,фактически,effectivement
efficiency,эффективность,Efficacité
efficient,эффективный,efficace
effort,усилие,effort
egg,яйцо,Oeuf
eight,восемь,huit
either,либо,Soit
elderly,престарелые,âgé
elect,избранные,élire
election,выборы,élection
electric,электрический,électrique
electricity,электричество,électricité
electronic,электронный,électronique
element,элемент,élément
elementary,элементарный,élémentaire
eliminate,Устранить,éliminer
elite,элита,élite
else,еще,autre
elsewhere,в другом месте,ailleurs
e-mail,электронная почта,e-mail
embrace,объятие,embrasser
emerge,появляться,émerger
emergency,чрезвычайная ситуация,urgence
emission,излучение,émission
emotion,эмоция,émotion
emotional,эмоциональный,émotif
emphasis,акцент,accentuation
emphasize,подчеркнуть,mettre l'accent sur
employ,нанимают,employer
employee,работник,employé
employer,работодатель,employeur
employment,работа,emploi
empty,пустой,vider
enable,включить,activer
encounter,сталкиваться,rencontrer
end,конец,finir
enemy,враг,ennemi
energy,энергия,énergie
enforcement,правоприменение,mise en vigueur
engage,привлекать,engager
engine,двигатель,moteur
engineer,инженер,ingénieur
engineering,инжиниринг,ingénierie
English,английский,Anglais
enhance,усиливать,améliorer
enjoy,наслаждаться,prendre plaisir
enormous,громадный,énorme
enough,достаточно,suffisant
ensure,гарантировать,assurer
enter,входить,Entrer
enterprise,предприятие,entreprise
entertainment,развлекательная программа,divertissement
entire,весь,tout
entirely,полностью,entièrement
entrance,Вход,entrée
entry,Вход,entrée
environment,среда,environnement
environmental,относящийся к окружающей среде,écologique
episode,эпизод,épisode
equal,равный,égal
equally,в равной степени,également
equipment,оборудование,équipement
era,эпоха,ère
error,ошибка,Erreur
escape,побег,s'échapper
especially,особенно,surtout
essay,сочинение,essai
essential,существенный,essentiel
essentially,по сути,essentiellement
establish,учреждать,établir
establishment,учреждение,établissement
estate,имущество,domaine
estimate,оценивать,estimation
etc,так далее,etc
ethics,этика,éthique
ethnic,этнической,ethnique
European,Европейская,européen
evaluate,оценивать,évaluer
evaluation,оценка,évaluation
even,четный,même
evening,вечер,soirée
event,мероприятие,un événement
eventually,в конце концов,finalement
ever,Когда-либо,jamais
every,каждый,tous
everybody,все,Tout le monde
everyday,ежедневно,tous les jours
everyone,все,toutes les personnes
everything,все,tout
everywhere,везде,partout
evidence,свидетельство,preuve
evolution,эволюция,évolution
evolve,эволюционировать,évoluer
exact,точный,exact
exactly,точно,exactement
examination,экспертиза,examen
examine,исследовать,examiner
example,пример,Exemple
exceed,превосходить,dépasser
