English,Russian,French
poor,бедные,pauvres
pop,поп,pop
popular,популярный,populaire
population,Население,population
porch,порог,porche
port,порт,Port
portion,часть,portion
portrait,портрет,portrait
portray,изобразить,représenter
pose,поза,pose
position,должность,positionner
positive,положительный,positif
possess,владеть,posséder
possibility,возможность,possibilité
possible,возможный,possible
possibly,возможно,peut-être
post,Почта,Publier
pot,горшок,pot
potato,картофель,Patate
potential,потенциал,potentiel
potentially,потенциально,potentiellement
pound,фунт,broyer
pour,наливать,verser
poverty,бедность,la pauvreté
powder,пудра,poudre
power,мощность,Puissance
powerful,мощный,puissant
practical,практическое,pratique
practice,упражняться,entraine toi
pray,молиться,prier
prayer,молитва,prière
precisely,точно,précisément
predict,предсказывать,prédire
prefer,предпочитать,préférer
preference,предпочтение,préférence
pregnancy,беременность,grossesse
pregnant,беременная,Enceinte
preparation,подготовка,préparation
prepare,подготовить,préparer
prescription,рецепт,prescription
presence,присутствие,présence
present,настоящее время,cadeau
presentation,презентация,présentation
preserve,сохранять,préserver
president,президент,Président
presidential,президентских,présidentiel
press,Нажмите,presse
pressure,давление,pression
pretend,делать вид,faire semblant
pretty,симпатичный,joli
prevent,предотвращать,empêcher
previous,предыдущий,précédent
previously,ранее,précédemment
price,цена,le prix
pride,гордость,Orgueil
priest,священник,prêtre
primarily,прежде всего,principalement
primary,начальный,primaire
prime,основной,premier
principal,главный,principal
principle,принцип,principe
print,Распечатать,imprimer
prior,прежний,avant
priority,приоритет,priorité
prison,тюрьма,prison
prisoner,заключенный,prisonnier
privacy,Конфиденциальность,intimité
private,частный,privé
probably,наверное,Probablement
problem,проблема,problème
procedure,процедура,procédure
proceed,продолжить,procéder
process,процесс,traiter
produce,производить,produire
producer,режиссер,producteur
product,продукт,produit
production,производство,production
profession,профессия,profession
professional,профессиональный,professionnel
professor,профессор,professeur
profile,профиль,profil
profit,выгода,profit
program,программа,programme
progress,прогресс,le progrès
project,проект,projet
prominent,видный,important
promise,обещать,promettre
promote,продвигать,promouvoir
prompt,Подсказка,rapide
proof,доказательство,preuve
proper,правильный,correct
properly,должным образом,correctement
property,имущество,propriété
proportion,доля,proportion
proposal,предложение,proposition
propose,предложить,proposer
proposed,предложил,proposé
prosecutor,прокурор,procureur
prospect,перспектива,perspective
protect,защищать,protéger
protection,защита,protection
protein,белок,protéine
protest,протест,manifestation
proud,гордый,fier
prove,доказывать,prouver
provide,предоставлять,apporter
provider,поставщик,fournisseur
province,провинция,Province
provision,обеспечение,disposition
psychological,психологический,psychologique
psychologist,психолог,psychologue
psychology,психология,psychologie
public,общественности,Publique
publication,публикация,publication
publicly,публично,publiquement
publish,публиковать,publier
publisher,издатель,éditeur
pull,тянуть,tirer
punishment,наказание,Châtiment
purchase,покупка,achat
pure,чистый,pur
purpose,цель,objectif
pursue,преследовать,poursuivre
push,толкать,pousser
put,ставить,mettre
qualify,квалифицировать,qualifier
quality,качество,qualité
quarter,четверть,trimestre
quarterback,защитник,stratège
question,вопрос,question
quick,быстро,rapide
quickly,быстро,rapidement
quiet,тихий,calmer
quietly,тихо,tranquillement
quit,покидать,quitter
quite,довольно,assez
quote,Цитировать,citation
race,гонка,course
racial,расовый,racial
radical,радикал,radical
radio,радио,radio
rail,рельс,rail
rain,дождь,pluie
raise,поднимать,élever
range,диапазон,intervalle
rank,классифицировать,rang
rapid,стремительный,rapide
rapidly,быстро,rapidement
rare,редкий,peu fréquent
rarely,редко,rarement
rate,показатель,taux
rather,скорее,plutôt
rating,рейтинг,notation
ratio,соотношение,rapport
raw,сырой,cru
reach,достигать,atteindre
react,реагировать,réagir
reaction,реакция,réaction
read,читать,lis
reader,читатель,lecteur
reading,чтение,en train de lire
ready,готовы,prêt
real,настоящий,réel
reality,реальность,réalité
realize,понимать,prendre conscience de
really,В самом деле,vraiment
reason,причина,raison
reasonable,разумный,raisonnable
recall,отзывать,rappeler
receive,получить,recevoir
recent,недавний,récent
recently,совсем недавно,récemment
recipe,рецепт приготовления,Recette
recognition,признание,reconnaissance
recognize,распознавать,reconnaître
recommend,рекомендую,recommander
recommendation,рекомендация,recommandation
record,записывать,enregistrer
recording,запись,enregistrement
recover,восстанавливаться,se remettre
recovery,восстановление,récupération
recruit,принимать на работу,recruter
red,красный,rouge
reduce,уменьшать,réduire
reduction,снижение,réduction
refer,ссылаться,référer
reference,Справка,référence
reflect,отражать,réfléchir
reflection,отражение,réflexion
reform,реформа,réforme
refugee,беженец,réfugié
refuse,мусор,refuser
regard,внимание,ce qui concerne
regarding,касательно,En ce qui concerne
regardless,несмотря на,quand même
regime,режим,régime
region,"область, край",Région
regional,региональный,régional
register,регистр,S'inscrire
regular,обычный,ordinaire
regularly,регулярно,régulièrement
regulate,регулировать,réglementer
regulation,регулирование,régulation
reinforce,усиливать,renforcer
reject,отклонять,rejeter
relate,относиться,relater
relation,связь,relation
relationship,отношение,relation
relative,родственник,relatif
relatively,относительно,relativement
relax,расслабляться,Détendez-vous
release,релиз,Libération
relevant,уместным,pertinent
relief,облегчение,soulagement
religion,религия,religion
religious,религиозная,religieux
rely,полагаться,compter
remain,оставаться,rester
remaining,осталось,restant
remarkable,замечательный,remarquable
remember,помнить,souviens toi
remind,напоминать,rappeler
remote,удаленный,à distance
remove,Удалить,supprimer
repeat,повторить,répéter
repeatedly,несколько раз,à plusieurs reprises
replace,заменять,remplacer
reply,Ответить,réponse
report,отчет,rapport
reporter,репортер,journaliste
represent,представлять,représenter
representation,представление,représentation
representative,представитель,représentant
Republican,республиканец,Républicain
reputation,репутации,réputation
request,запрос,demander
require,требовать,exiger
requirement,требование,exigence
research,исследовать,recherche
researcher,Исследователь,chercheur
resemble,напоминать,ressembler
reservation,бронирование,réservation
resident,резидент,résident
resistance,сопротивление,la résistance
resolution,разрешающая способность,résolution
resolve,разрешить,résoudre
resort,прибегнуть,recours
resource,ресурс,Ressource
respect,уважать,le respect
respond,отвечать,répondre
respondent,ответчик,intimé
response,отклик,réponse
responsibility,обязанность,responsabilité
responsible,ответственный,responsable
rest,отдых,du repos
restaurant,ресторан,le restaurant
restore,восстановить,restaurer
restriction,ограничение,restriction
result,результат,résultat
retain,удерживать,conserver
retire,выходить на пенсию,se retirer
retirement,отставка,retraite
return,возвращаться,revenir
reveal,раскрывать,faire apparaître
revenue,доход,revenu
review,рассмотрение,revoir
revolution,революция,révolution
rhythm,ритм,rythme
rice,рис,riz
rich,богатый,riche
rid,избавлять,débarrasser
ride,поездка,conduire
rifle,винтовка,fusil
right,верно,droite
ring,звенеть,bague
rise,подъем,se lever
risk,риск,risque
river,река,fleuve
road,Дорога,route
rock,рок,rocheux
role,роль,rôle
roll,рулон,rouleau
romantic,романтик,romantique
roof,крыша,toit
room,номер,chambre
root,корень,racine
rope,веревка,corde
rose,Роза,Rose
rough,грубый,rugueux
roughly,грубо,grossièrement
round,круглый,rond
route,маршрут,route
routine,рутина,routine
row,строка,ligne
rub,тереть,frotter
rule,правило,régner
run,запустить,Cours
running,Бег,fonctionnement
rural,деревенский,rural
rush,порыв,se ruer
Russian,русский,russe
sacred,священный,sacré
sad,грустный,triste
safe,безопасный,sûr
safety,безопасность,sécurité
sake,ради,Saké
salad,салат,salade
salary,оплата труда,un salaire
sale,распродажа,vendre
sales,продажи,Ventes
salt,соль,sel
same,одно и тоже,même
sample,образец,goûter
sanction,санкция,sanction
sand,песок,le sable
satellite,спутник,Satellite
satisfaction,удовлетворение,la satisfaction
satisfy,удовлетворять,satisfaire
sauce,соус,sauce
save,спасти,sauvegarder
saving,экономия,économie
say,сказать,dire
scale,шкала,escalader
scandal,скандал,scandale
scared,испуганный,effrayé
scenario,сценарий,scénario
scene,сцена,scène
schedule,расписание,horaire
scheme,схема,schème
scholar,ученый,savant
scholarship,стипендия,Bourse
school,школа,école
science,наука,la science
scientific,научный,scientifique
scientist,ученый,scientifique
scope,сфера,portée
score,счет,But
scream,крик,pousser un cri
screen,экран,écran
script,скрипт,scénario
sea,море,mer
search,поиск,rechercher
season,время года,saison
seat,сиденье,siège
second,второй,deuxième
secret,секрет,secret
secretary,секретарь,secrétaire
section,раздел,section
sector,сектор,secteur
secure,безопасный,sécurise
security,безопасность,Sécurité
see,видеть,voir
seed,семя,planter
seek,стремиться,chercher
seem,казаться,sembler
segment,сегмент,segment
seize,воспользоваться,s'emparer de
select,Выбрать,sélectionner
selection,выбор,sélection
self,себя,soi
sell,продавать,vendre
Senate,сенат,Sénat
senator,сенатор,sénateur
send,Отправить,envoyer
senior,старший,Sénior
sense,смысл,sens
sensitive,чувствительный,sensible
sentence,приговор,phrase
separate,отдельный,séparé
sequence,последовательность,séquence
series,ряд,séries
serious,серьезный,sérieux
seriously,шутки в сторону,sérieusement
serve,обслуживать,servir
service,услуга,un service
session,сессия,session
set,набор,ensemble
setting,параметр,réglage
settle,решить,régler
settlement,урегулирование,règlement
seven,Семь,Sept
several,несколько,plusieurs
severe,серьезный,sévère
sex,секс,sexe
sexual,половой,sexuel
shade,оттенок,ombre
shadow,тень,ombre
shake,сотрясения,secouer
shall,должен,doit
shape,форма,façonner
share,Поделиться,partager
sharp,острый,pointu
she,она,elle
sheet,простынь,feuille
shelf,полка,étagère
shell,оболочка,coquille
shelter,приют,abri
shift,сдвиг,changement
shine,светить,briller
ship,корабль,bateau
shirt,Рубашка,la chemise
shit,дерьмо,merde
shock,шок,choc
shoe,башмак,chaussure
shoot,стрелять,tirer
shooting,стрельба,tournage
shop,магазин,magasin
shopping,поход по магазинам,achats
shore,берег,rive
short,короткая,court
shortly,вскоре,prochainement
shot,выстрелил,tirer
should,должен,devrait
shoulder,плечо,épaule
shout,кричать,crier
show,показывать,spectacle
shower,душ,douche
shrug,пожимание плечами,hausser les épaules
shut,закрыть,fermer
sick,больной,malade
side,боковая сторона,côté
sigh,вздох,soupir
sight,зрение,vue
sign,знак,signe
signal,сигнал,signal
significance,значимость,importance
significant,значительный,important
significantly,существенно,significativement
silence,тишина,silence
silent,тихий,silencieux
silver,серебро,argent
similar,похожий,similaire
similarly,по аналогии,De même
simple,просто,Facile
simply,просто,simplement
sin,грех,péché
since,поскольку,puisque
sing,петь,chanter
singer,певец,chanteur
single,Один,Célibataire
sink,раковина,couler
sir,сэр,Monsieur
sister,сестра,sœur
sit,сидеть,asseoir
site,сайт,placer
situation,ситуация,situation
six,шесть,six
size,размер,Taille
ski,лыжа,ski
skill,навык,compétence
skin,кожа,peau
sky,небо,ciel
slave,раб,trimer
sleep,спать,dormir
slice,ломтик,tranche
slide,горка,faire glisser
slight,незначительный,léger
slightly,немного,légèrement
slip,соскальзывать,glisser
slow,медленный,ralentir
slowly,медленно,lentement
small,небольшой,petit
smart,умная,intelligent
smell,запах,sentir
smile,улыбка,le sourire
smoke,дым,fumée
smooth,гладкий,lisse
snap,щелчок,se casser
snow,снег,neige
so,так,donc
so-called,так называемые,soi-disant
soccer,футбольный,le football
social,Социальное,social
society,общество,société
soft,мягкий,"mou, tendre"
software,программное обеспечение,Logiciel
soil,почва,sol
solar,солнечный,solaire
soldier,солдат,soldat
solid,твердый,solide
solution,решение,solution
solve,решать,résoudre
some,некоторый,quelque
somebody,кто-нибудь,quelqu'un
somehow,как-то,d'une manière ou d'une autre
someone,кто-то,Quelqu'un
something,что-нибудь,quelque chose
sometimes,иногда,parfois
somewhat,в некотором роде,quelque peu
somewhere,где-то,quelque part
son,сын,fils
song,песня,chanson
soon,скоро,bientôt
sophisticated,сложный,sophistiqué
sorry,Извините,Pardon
sort,Сортировать,sorte
soul,душа,âme
sound,звук,sonner
soup,суп,soupe
source,источник,la source
south,юг,Sud
southern,южный,du sud
Soviet,советский,soviétique
space,космос,espace
Spanish,испанский,Espanol
speak,говорить,parler
speaker,оратор,orateur
special,специальный,spécial
specialist,специалист,spécialiste
species,разновидность,espèce
specific,конкретный,spécifique
specifically,конкретно,Plus précisément
speech,речь,parole
speed,скорость,la vitesse
spend,проводить,dépenser
spending,расходы,dépenses
spin,вращение,tourner
spirit,дух,esprit
spiritual,духовный,spirituel
split,расколоть,diviser
spokesman,представитель,porte-parole
sport,спорт,sport
spot,место,endroit
spread,распространение,diffuser
spring,весна,printemps
square,квадратный,carré
squeeze,сжимать,presser
stability,стабильность,stabilité
stable,стабильный,stable
staff,персонал,Personnel
stage,сцена,étape
stair,ступенька,escalier
stake,доля,pieu
stand,стоять,supporter
standard,стандарт,la norme
standing,постоянный,debout
star,звезда,Star
stare,глазеть,regard
start,Начало,démarrer
state,государственный,Etat
statement,утверждение,déclaration
station,станция,gare
statistics,статистика,statistiques
status,статус,statut
stay,остаться,rester
steady,устойчивый,constant
steal,воровать,voler
steel,стали,acier
step,шаг,marcher
stick,палка,coller
still,по-прежнему,encore
stir,размешивать,remuer
stock,склад,Stock
stomach,желудок,estomac
stone,камень,Pierre
stop,останавливаться,arrêter
storage,место хранения,stockage
store,хранить,boutique
storm,гроза,tempête
story,сказка,histoire
straight,прямой,droit
strange,странный,étrange
stranger,чужой человек,étranger
strategic,стратегическое,stratégique
strategy,стратегия,stratégie
stream,поток,flux
street,улица,rue
strength,сила,force
strengthen,усилить,renforcer
stress,стресс,stress
stretch,протяжение,s'étirer
strike,наносить удар,frapper
string,нить,chaîne
strip,полоска,déshabiller
stroke,Инсульт,coup
strong,сильный,fort
strongly,сильно,fortement
structure,состав,structure
struggle,борьба,lutte
student,ученик,élève
studio,студия,studio
study,изучение,étude
stuff,вещи,truc
stupid,глупый,stupide
style,стиль,style
subject,предмет,matière
submit,представить,nous faire parvenir
subsequent,последующий,subséquent
substance,вещество,substance
substantial,существенный,substantiel
succeed,добиться успеха,réussir
success,успех,Succès
successfully,успешно,avec succès
such,такой,tel
sudden,внезапный,soudain
suddenly,"вдруг, внезапно",tout à coup
sue,Сью,poursuivre en justice
suffer,страдать,souffrir
sufficient,достаточный,suffisant
sugar,сахар,du sucre
suggest,предложить,suggérer
suggestion,предложение,suggestion
suicide,самоубийство,suicide
suit,подходить,costume
summer,летом,l'été
summit,встреча на высшем уровне,sommet
sun,солнце,Soleil
super,супер,super
supply,поставлять,la fourniture
support,служба поддержки,Support
supporter,сторонник,Supporter
suppose,предполагать,supposer
supposed,предполагаемый,supposé
Supreme,Верховный,Suprême
sure,Конечно,Bien sur
surely,конечно,sûrement
surface,поверхность,surface
surgery,операция,chirurgie
surprise,сюрприз,surprendre
surprised,удивлены,surpris
surprising,удивительный,surprenant
surprisingly,удивительно,étonnamment
surround,окружать,entourer
survey,опрос,enquête
survival,выживание,survie
survive,выживать,survivre
survivor,уцелевший,survivant
suspect,подозревать,suspect
sustain,поддерживать,soutenir
swear,ругаться,jurer
sweep,сметать,balayer
sweet,сладкий,doux
swim,плавать,nager
swing,качать,se balancer
switch,выключатель,changer
symbol,символ,symbole
symptom,симптом,symptôme
system,система,système
table,Таблица,tableau
tablespoon,столовая ложка,cuillerée à soupe
tactic,тактика,tactique
tail,хвост,queue
take,брать,prendre
tale,рассказ,conte
talent,талант,Talent
talk,говорить,parlez
tall,высокий,grand
tank,бак,Char
tap,кран,robinet
tape,Лента,enregistrer
target,цель,cible
task,задача,tâche
taste,вкус,goût
tax,налог,impôt
taxpayer,налогоплательщик,contribuable
tea,чай,thé
teach,учить,apprendre
teacher,учитель,prof
teaching,обучение,enseignement
team,команда,équipe
tear,рвать,larme
teaspoon,чайная ложка,cuillère à café
technical,технический,technique
technique,техника,technique
technology,технология,La technologie
teen,подросток,adolescent
teenager,подросток,adolescent
telephone,телефон,Téléphone
telescope,телескоп,télescope
television,телевидение,télévision
tell,рассказать,raconter
temperature,температура,Température
temporary,временный,temporaire
ten,десять,Dix
tend,иметь тенденцию,tendre
tendency,тенденция,tendance
tennis,большой теннис,tennis
tension,напряжение,tension
tent,палатка,tente
term,срок,terme
terms,термины,termes
terrible,ужасный,terrible
territory,территория,territoire
terror,террор,la terreur
terrorism,терроризм,terrorisme
terrorist,террорист,terroriste
test,контрольная работа,test
testify,давать показания,témoigner
testimony,свидетельство,témoignage
testing,тестирование,essai
text,текст,texte
than,чем,que
thank,благодарить,remercier
thanks,Благодарность,Merci
that,что,cette
the,,les
theater,театр,théâtre
their,их,leur
them,их,eux
theme,тема,thème
themselves,сами себя,eux-mêmes
then,тогда,ensuite
theory,теория,théorie
therapy,терапия,thérapie
there,там,là
therefore,следовательно,donc
these,эти,celles-ci
they,Они,elles ou ils
thick,толстый,épais
thin,тонкий,mince
thing,вещь,chose
think,считать,pense
thinking,мышление,pensée
third,в третьих,la troisième
thirty,30,30
this,это,cette
those,те,ceux
though,хоть,mais
thought,мысль,pensée
thousand,тысяча,mille
threat,угроза,menace
threaten,угрожать,menacer
three,три,Trois
throat,горло,gorge
through,через,à travers
throughout,через,tout au long de
throw,бросать,lancer
thus,таким образом,Donc
ticket,проездной билет,billet
tie,галстук,nouer
tight,тугой,serré
time,время,temps
tiny,крошечный,tout petit
tip,кончик,Astuce
tire,шина,pneu
tired,устала,fatigué
tissue,ткань,tissu
title,заглавие,Titre
to,к,à
tobacco,табак,le tabac
today,Cегодня,aujourd'hui
toe,палец на ноге,doigt de pied
together,все вместе,ensemble
tomato,помидор,tomate
tomorrow,завтра,demain
tone,тон,Ton
tongue,язык,langue
tonight,сегодня ночью,ce soir
too,тоже,trop
tool,инструмент,outil
tooth,зуб,dent
top,вершина,Haut
topic,тема,sujet
toss,жеребьевка,lancer
total,общее,le total
totally,полностью,totalement
touch,трогать,toucher
tough,жесткий,difficile
tour,тур,visiter
tourist,турист,touristique
tournament,турнир,tournoi
toward,к,vers
towards,в направлении,envers
tower,башня,la tour
town,городок,ville
toy,игрушка,jouet
trace,след,trace
track,отслеживать,Piste
trade,торговля,Commerce
tradition,традиция,tradition
traditional,традиционный,traditionnel
traffic,движение,circulation
tragedy,трагедия,la tragédie
trail,тащить,Piste
train,тренироваться,former
training,обучение,formation
transfer,перевод,transfert
transform,преобразование,transformer
transformation,преобразование,transformation
transition,переход,transition
translate,переведите,Traduire
transportation,транспорт,transport
travel,путешествовать,Voyage
treat,удовольствие,traiter
treatment,лечение,traitement
treaty,договор,traité
tree,дерево,arbre
tremendous,огромный,énorme
trend,тенденция,tendance
trial,пробный,essai
tribe,племя,tribu
trick,обманывать,tour
trip,поездка,voyage
troop,войска,troupe
trouble,беда,problème
truck,грузовик,un camion
TRUE,ПРАВДА,VRAI
truly,действительно,vraiment
trust,доверять,confiance
truth,правда,vérité
try,пытаться,essayer
tube,трубка,tube
tunnel,тоннель,tunnel
turn,повернуть,tour
TV,Телевизор,la télé
twelve,двенадцать,Douze
twenty,двадцать,vingt
twice,дважды,à deux reprises
twin,близнец,double
two,два,deux
type,тип,taper
typical,типичный,typique
typically,типично,typiquement
ugly,уродливый,moche
ultimate,окончательный,ultime
ultimately,в конечном счете,en fin de compte
unable,не в состоянии,incapable
uncle,дядя,oncle
under,под,en dessous de
undergo,претерпевать,subir
understand,понимать,comprendre
understanding,понимание,compréhension
unfortunately,к несчастью,Malheureusement
uniform,единообразный,uniforme
union,союз,syndicat
unique,уникальный,unique
unit,Ед. изм,unité
United,объединенный,Uni
universal,универсальный,universel
universe,вселенная,univers
university,Университет,Université
unknown,неизвестный,inconnu
unless,пока не,à moins que
unlike,в отличие,contrairement à
unlikely,вряд ли,improbable
until,до того как,jusqu'à ce que
unusual,необычный,inhabituel
up,вверх,en haut
upon,на,sur
upper,верхний,plus haut
urban,городской,Urbain
urge,побуждать,exhorter
us,нас,nous
use,использовать,utiliser
used,использовал,utilisé
useful,полезный,utile
user,Пользователь,utilisateur
usual,обычный,habituel
usually,обычно,d'habitude
utility,полезность,utilitaire
vacation,отпуск,vacances
valley,Долина,vallée
valuable,ценный,précieux
value,значение,valeur
variable,Переменная,variable
variation,изменение,variation
variety,разнообразие,variété
various,разные,divers
vary,отличаться,varier
vast,огромный,vaste
vegetable,овощной,légume
vehicle,транспортное средство,véhicule
venture,риск,entreprise
version,версия,version
versus,против,contre
very,очень,très
vessel,судно,navire
veteran,ветеран,vétéran
via,через,passant par
victim,жертва,victime
victory,победа,la victoire
video,видео,vidéo
view,Посмотреть,vue
viewer,зритель,téléspectateur
village,деревня,village
violate,нарушать,violer
violation,нарушение,violation
violence,насилие,la violence
violent,жестокий,violent
virtually,фактически,virtuellement
virtue,добродетель,vertu
virus,вирус,virus
visible,видимый,visible
vision,зрение,vision
visit,посещение,visite
visitor,посетитель,visiteur
visual,визуальный,visuel
vital,жизненно важный,vital
voice,голос,voix
volume,объем,le volume
volunteer,доброволец,bénévole
vote,голосование,vote
voter,избиратель,électeur
vs,против,vs
vulnerable,уязвимый,vulnérable
wage,заработная плата,salaire
wait,ждать,attendre
wake,будить,se réveiller
walk,ходить,marche
wall,стена,mur
wander,бродить,errer
want,хочу,vouloir
war,война,guerre
warm,теплый,chaud
warn,предупреждать,avertir
warning,предупреждение,Attention
wash,стирка,lavage
waste,трата,déchets
watch,смотреть,Regardez
water,вода,l'eau
wave,волна,vague
way,способ,chemin
we,мы,nous
weak,слабый,faible
wealth,богатство,richesse
wealthy,богатый,riche
weapon,оружие,arme
wear,носить,porter
weather,Погода,la météo
wedding,свадьба,mariage
week,неделя,semaine
weekend,выходные дни,fin de semaine
weekly,еженедельно,hebdomadaire
weigh,взвешивать,peser
weight,масса,poids
welcome,Добро пожаловать,Bienvenue
welfare,благосостояние,bien-être
well,хорошо,bien
west,Запад,Ouest
western,вестерн,occidental
wet,влажный,mouiller
what,какие,quelle
whatever,что бы ни,peu importe
wheel,колесо,la roue
when,когда,lorsque
whenever,в любое время,n'importe quand
where,где,où
whereas,тогда как,tandis que
whether,ли,qu'il s'agisse
which,который,lequel
while,пока,tandis que
whisper,шепот,chuchotement
white,белый,blanc
who,кто,qui
whole,весь,ensemble
whom,кому,qui
whose,чей,à qui
why,Зачем,Pourquoi
wide,широкий,large
widely,широко,largement
widespread,широко распространенный,très répandu
wife,жена,épouse
wild,дикий,sauvage
will,будут,volonté
willing,готовый,disposé
win,выиграть,gagner
wind,ветер,vent
window,окно,la fenêtre
wine,вино,vin
wing,крыло,aile
winner,победитель,gagnant
winter,зима,l'hiver
wipe,вытирать,essuyer
wire,провод,fil
wisdom,мудрость,sagesse
wise,Мудрый,sage
wish,желание,souhaiter
with,с участием,avec
withdraw,отзывать,retirer
within,в,dans
without,без,sans pour autant
witness,свидетель,témoin
woman,женщина,femme
wonder,удивляться,merveille
wonderful,замечательный,magnifique
wood,древесина,bois
wooden,деревянный,en bois
word,слово,mot
work,Работа,travail
worker,работник,ouvrier
works,работает,travaux
workshop,цех,atelier
world,Мир,monde
worried,волновался,préoccupé
worry,волноваться,s'inquiéter
worth,ценность,valeur
would,было бы,aurait
wound,ранить,blessure
wrap,сворачивать,envelopper
write,написать,écrivez
writer,писатель,écrivain
writing,письмо,l'écriture
wrong,неправильный,tort
yard,площадка,Cour
yeah,Ага,Oui
year,год,an
yell,кричать,crier
yellow,желтый,jaune
yes,да,Oui
yesterday,вчера,hier
yet,еще,encore
yield,урожай,rendement
you,ты,toi
young,молодой,Jeune
your,ваш,votre
yours,ваш,le vôtre
yourself,сам,toi-même
youth,молодежь,jeunesse
zone,зона,zone
